"Site ID","Station_Type","Sample_Date","Sample Depth (cm)","Mean Bulk Density (g/cm3)","SE Bulk Density (g/cm3)",
"CRMS0174","S","6/8/2006 12:00:00 AM","8","0.3266667","0.0120185",
"CRMS0174","S","6/8/2006 12:00:00 AM","12","0.3266667","0.02333334",
"CRMS0174","S","6/8/2006 12:00:00 AM","16","0.2766667","0.02905933",
"CRMS0174","S","6/8/2006 12:00:00 AM","20","0.2866667","0.03179797",
"CRMS0174","S","6/8/2006 12:00:00 AM","24","0.27","0.03511885",
"CRMS0174","S","2/26/2018 12:00:00 AM","4","0.1966667","0.03282952",
"CRMS0174","S","2/26/2018 12:00:00 AM","8","0.17","0.03055051",
"CRMS0174","S","2/26/2018 12:00:00 AM","12","0.1633333","0.02333334",
"CRMS0174","S","2/26/2018 12:00:00 AM","16","0.18","0.04618802",
"CRMS0174","S","2/26/2018 12:00:00 AM","20","0.1866667","0.06227181",
"CRMS0174","S","2/26/2018 12:00:00 AM","24","0.1933333","0.05840472",
"CRMS0175","S","6/5/2006 12:00:00 AM","4","0.2633333","0.01452966",
"CRMS0175","S","6/5/2006 12:00:00 AM","8","0.2766667","0.02962731",
"CRMS0175","S","6/5/2006 12:00:00 AM","12","0.2866667","0.01855922",
"CRMS0175","S","6/5/2006 12:00:00 AM","16","0.24","0.005773501",
"CRMS0175","S","6/5/2006 12:00:00 AM","20","0.2566667","0.01452966",
"CRMS0175","S","6/5/2006 12:00:00 AM","24","0.2666667","0.02185813",
"CRMS0175","S","4/25/2018 12:00:00 AM","4","0.2033333","0.03929942",
"CRMS0175","S","4/25/2018 12:00:00 AM","8","0.3","0.01",
"CRMS0175","S","4/25/2018 12:00:00 AM","12","0.37","0.01527525",
"CRMS0175","S","4/25/2018 12:00:00 AM","16","0.26","0.01000001",
"CRMS0175","S","4/25/2018 12:00:00 AM","20","0.2433333","0.01333334",
"CRMS0175","S","4/25/2018 12:00:00 AM","24","0.23","0.02081666",
"CRMS0176","S","6/8/2006 12:00:00 AM","4","0.2533333","0.05364493",
"CRMS0176","S","6/8/2006 12:00:00 AM","8","0.19","0.02",
"CRMS0176","S","6/8/2006 12:00:00 AM","12","0.21","0.01527525",
"CRMS0176","S","6/8/2006 12:00:00 AM","16","0.24","0.01527525",
"CRMS0176","S","6/8/2006 12:00:00 AM","20","0.3066667","0.01763834",
"CRMS0176","S","6/8/2006 12:00:00 AM","24","0.2933333","0.00333334",
"CRMS0176","S","2/26/2018 12:00:00 AM","4","0.3233333","0.02962731",
"CRMS0176","S","2/26/2018 12:00:00 AM","8","0.28","0.01527525",
"CRMS0176","S","2/26/2018 12:00:00 AM","12","0.2366667","0.0120185",
"CRMS0176","S","2/26/2018 12:00:00 AM","16","0.2033333","0.01763834",
"CRMS0176","S","2/26/2018 12:00:00 AM","20","0.1933333","0.01452966",
"CRMS0176","S","2/26/2018 12:00:00 AM","24","0.24","0.011547",
"CRMS0178","S","6/12/2006 12:00:00 AM","4","0.6733333","0.08192138",
"CRMS0178","S","6/12/2006 12:00:00 AM","8","0.5233333","0.05364493",
"CRMS0178","S","6/12/2006 12:00:00 AM","12","0.4033333","0.02333333",
"CRMS0178","S","6/12/2006 12:00:00 AM","16","0.4166667","0.01763834",
"CRMS0178","S","6/12/2006 12:00:00 AM","20","0.34","0.02",
"CRMS0178","S","6/12/2006 12:00:00 AM","24","0.3166667","0.01452967",
"CRMS0178","S","4/25/2018 12:00:00 AM","4","0.6233333","0.09279607",
"CRMS0178","S","4/25/2018 12:00:00 AM","8","0.51","0.1115049",
"CRMS0178","S","4/25/2018 12:00:00 AM","12","0.44","0.03214551",
"CRMS0178","S","4/25/2018 12:00:00 AM","16","0.4766667","0.04630814",
"CRMS0178","S","4/25/2018 12:00:00 AM","20","0.5033333","0.05897269",
"CRMS0178","S","4/25/2018 12:00:00 AM","24","0.6133333","0.08762293",
"CRMS0179","S","6/21/2006 12:00:00 AM","4","0.46","0.1113553",
"CRMS0179","S","6/21/2006 12:00:00 AM","8","0.3633333","0.02333333",
"CRMS0179","S","6/21/2006 12:00:00 AM","12","0.33","0.011547",
"CRMS0179","S","6/21/2006 12:00:00 AM","16","0.3133333","0.02185813",
"CRMS0179","S","6/21/2006 12:00:00 AM","20","0.3166667","0.03179797",
"CRMS0179","S","6/21/2006 12:00:00 AM","24","0.2666667","0.008819172",
"CRMS0179","S","5/17/2018 12:00:00 AM","4","0.2366667","0.0120185",
"CRMS0179","S","5/17/2018 12:00:00 AM","8","0.4966667","0.1440293",
"CRMS0179","S","5/17/2018 12:00:00 AM","12","0.6333333","0.08743251",
"CRMS0179","S","5/17/2018 12:00:00 AM","16","0.4166667","0.07218802",
"CRMS0179","S","5/17/2018 12:00:00 AM","20","0.45","0.07549834",
"CRMS0179","S","5/17/2018 12:00:00 AM","24","0.3933333","0.02962731",
"CRMS0181","S","5/15/2007 12:00:00 AM","4","0.46","0.02516611",
"CRMS0181","S","5/15/2007 12:00:00 AM","8","0.4133333","0.05044248",
"CRMS0181","S","5/15/2007 12:00:00 AM","12","0.3366667","0.03527668",
"CRMS0181","S","5/15/2007 12:00:00 AM","16","0.3766667","0.01855921",
"CRMS0181","S","5/15/2007 12:00:00 AM","20","0.3333333","0.02333334",
"CRMS0181","S","5/15/2007 12:00:00 AM","24","0.3366667","0.04055174",
"CRMS0181","S","4/5/2018 12:00:00 AM","4","0.28","0.03511885",
"CRMS0181","S","4/5/2018 12:00:00 AM","8","0.3366667","0.02848002",
"CRMS0181","S","4/5/2018 12:00:00 AM","12","0.3933333","0.02848",
"CRMS0181","S","4/5/2018 12:00:00 AM","16","0.5366667","0.09666667",
"CRMS0181","S","4/5/2018 12:00:00 AM","20","0.3866667","0.03756476",
"CRMS0181","S","4/5/2018 12:00:00 AM","24","0.4933333","0.05925462",
"CRMS0184","S","6/5/2006 12:00:00 AM","4","0.03","0",
"CRMS0184","S","6/5/2006 12:00:00 AM","8","0.06666666","0.006666666",
"CRMS0184","S","6/5/2006 12:00:00 AM","12","0.07","0",
"CRMS0184","S","6/5/2006 12:00:00 AM","16","0.08666667","0.006666668",
"CRMS0184","S","6/5/2006 12:00:00 AM","20","0.1166667","0.01763834",
"CRMS0184","S","6/5/2006 12:00:00 AM","24","0.2133333","0.024037",
"CRMS0185","S","5/13/2014 12:00:00 AM","4","0.09","0.011547",
"CRMS0185","S","5/13/2014 12:00:00 AM","8","0.09","0.005773504",
"CRMS0185","S","5/13/2014 12:00:00 AM","12","0.1066667","0.0120185",
"CRMS0185","S","5/13/2014 12:00:00 AM","16","0.11","0.011547",
"CRMS0185","S","5/13/2014 12:00:00 AM","20","0.12","0.01732051",
"CRMS0185","S","5/13/2014 12:00:00 AM","24","0.135","0.015",
"CRMS0185","S","11/16/2021 12:00:00 AM","4","0.1766667","0.008819172",
"CRMS0185","S","11/16/2021 12:00:00 AM","8","0.2033333","0.02962731",
"CRMS0185","S","11/16/2021 12:00:00 AM","12","0.21","0.02516611",
"CRMS0185","S","11/16/2021 12:00:00 AM","16","0.2066667","0.01333333",
"CRMS0185","S","11/16/2021 12:00:00 AM","20","0.2066667","0.03711843",
"CRMS0185","S","11/16/2021 12:00:00 AM","24","0.22","0.0305505",
"CRMS0188","S","8/3/2006 12:00:00 AM","4","0.06","0",
"CRMS0188","S","8/3/2006 12:00:00 AM","8","0.06","0.005773502",
"CRMS0188","S","8/3/2006 12:00:00 AM","12","0.06","0.005773502",
"CRMS0188","S","8/3/2006 12:00:00 AM","16","0.06666666","0.00881917",
"CRMS0188","S","8/3/2006 12:00:00 AM","20","0.07","0.01",
"CRMS0188","S","8/3/2006 12:00:00 AM","24","0.06333333","0.003333334",
"CRMS0188","S","3/26/2018 12:00:00 AM","4","0.06","0.009999999",
"CRMS0188","S","3/26/2018 12:00:00 AM","8","0.07666667","0.008819172",
"CRMS0188","S","3/26/2018 12:00:00 AM","12","0.07666667","0.01452966",
"CRMS0188","S","3/26/2018 12:00:00 AM","16","0.07","0.01154701",
"CRMS0188","S","3/26/2018 12:00:00 AM","20","0.06","0.01",
"CRMS0188","S","3/26/2018 12:00:00 AM","24","0.06666666","0.003333334",
"CRMS0189","S","5/24/2007 12:00:00 AM","4","0.04666667","0.0120185",
"CRMS0189","S","5/24/2007 12:00:00 AM","8","0.05333333","0.003333333",
"CRMS0189","S","5/24/2007 12:00:00 AM","12","0.06333333","0.00881917",
"CRMS0189","S","5/24/2007 12:00:00 AM","16","0.04333333","0.006666667",
"CRMS0189","S","5/24/2007 12:00:00 AM","20","0.05333333","0.003333333",
"CRMS0189","S","5/24/2007 12:00:00 AM","24","0.05","0.005773502",
"CRMS0189","S","5/8/2018 12:00:00 AM","4","0.05","0",
"CRMS0189","S","5/8/2018 12:00:00 AM","8","0.06333333","0.003333334",
"CRMS0189","S","5/8/2018 12:00:00 AM","12","0.05666666","0.003333333",
"CRMS0189","S","5/8/2018 12:00:00 AM","16","0.05666666","0.003333333",
"CRMS0189","S","5/8/2018 12:00:00 AM","20","0.06","0",
"CRMS0189","S","5/8/2018 12:00:00 AM","24","0.06","0.005773502",
"CRMS0190","S","6/13/2006 12:00:00 AM","4","0.08333334","0.003333335",
"CRMS0190","S","6/13/2006 12:00:00 AM","8","0.08","0.005773504",
"CRMS0190","S","6/13/2006 12:00:00 AM","12","0.07","0",
"CRMS0190","S","6/13/2006 12:00:00 AM","16","0.08333334","0.003333335",
"CRMS0190","S","6/13/2006 12:00:00 AM","20","0.07333333","0.003333333",
"CRMS0190","S","6/13/2006 12:00:00 AM","24","0.07333333","0.003333333",
"CRMS0190","S","4/11/2018 12:00:00 AM","4","0.06666666","0.02185813",
"CRMS0190","S","4/11/2018 12:00:00 AM","8","0.08666667","0.01855921",
"CRMS0190","S","4/11/2018 12:00:00 AM","12","0.06333333","0.00881917",
"CRMS0190","S","4/11/2018 12:00:00 AM","16","0.06666666","0.003333334",
"CRMS0190","S","4/11/2018 12:00:00 AM","20","0.07","0.01",
"CRMS0190","S","4/11/2018 12:00:00 AM","24","0.06","0.005773502",
"CRMS0192","S","3/19/2007 12:00:00 AM","4","0.05666667","0.01666667",
"CRMS0192","S","3/19/2007 12:00:00 AM","8","0.07333333","0.006666666",
"CRMS0192","S","3/19/2007 12:00:00 AM","12","0.06","0.009999999",
"CRMS0192","S","3/19/2007 12:00:00 AM","16","0.05333333","0.003333333",
"CRMS0192","S","3/19/2007 12:00:00 AM","20","0.05333333","0.003333333",
"CRMS0192","S","3/19/2007 12:00:00 AM","24","0.04333333","0.003333334",
"CRMS0192","S","4/16/2018 12:00:00 AM","4","0.03","0.005773502",
"CRMS0192","S","4/16/2018 12:00:00 AM","8","0.04333333","0.003333334",
"CRMS0192","S","4/16/2018 12:00:00 AM","12","0.05333333","0.003333333",
"CRMS0192","S","4/16/2018 12:00:00 AM","16","0.06333333","0.0120185",
"CRMS0192","S","4/16/2018 12:00:00 AM","20","0.04666667","0.003333334",
"CRMS0192","S","4/16/2018 12:00:00 AM","24","0.03666667","0.003333333",
"CRMS0194","S","11/5/2008 12:00:00 AM","4","0.3233333","0.08293237",
"CRMS0194","S","11/5/2008 12:00:00 AM","8","0.4933333","0.1254769",
"CRMS0194","S","11/5/2008 12:00:00 AM","12","0.79","0.1058301",
"CRMS0194","S","11/5/2008 12:00:00 AM","16","0.8233333","0.1071344",
"CRMS0194","S","11/5/2008 12:00:00 AM","20","0.8933333","0.06119188",
"CRMS0194","S","11/5/2008 12:00:00 AM","24","0.8966666","0.06887992",
"CRMS0194","S","5/21/2014 12:00:00 AM","4","0.17","0.1069268",
"CRMS0194","S","5/21/2014 12:00:00 AM","8","0.3933333","0.1047749",
"CRMS0194","S","5/21/2014 12:00:00 AM","12","0.7066666","0.07623066",
"CRMS0194","S","5/21/2014 12:00:00 AM","16","0.7333333","0.04702246",
"CRMS0194","S","5/21/2014 12:00:00 AM","20","0.8033333","0.02185813",
"CRMS0194","S","5/21/2014 12:00:00 AM","24","0.8533334","0.06887992",
"CRMS0194","S","7/27/2021 12:00:00 AM","4","0.2233333","0.04666667",
"CRMS0194","S","7/27/2021 12:00:00 AM","8","0.2266667","0.07264832",
"CRMS0194","S","7/27/2021 12:00:00 AM","12","0.3633333","0.136178",
"CRMS0194","S","7/27/2021 12:00:00 AM","16","0.3833333","0.1217009",
"CRMS0194","S","7/27/2021 12:00:00 AM","20","0.5933334","0.1471205",
"CRMS0194","S","7/27/2021 12:00:00 AM","24","0.7033333","0.1109555",
"CRMS0197","S","1/22/2009 12:00:00 AM","4","0.3333333","0.05364492",
"CRMS0197","S","1/22/2009 12:00:00 AM","8","0.6","0.05291503",
"CRMS0197","S","1/22/2009 12:00:00 AM","12","0.7233334","0.04333334",
"CRMS0197","S","1/22/2009 12:00:00 AM","16","0.7366667","0.02403701",
"CRMS0197","S","1/22/2009 12:00:00 AM","20","0.7866667","0.06009252",
"CRMS0197","S","1/22/2009 12:00:00 AM","24","0.8866667","0.04630816",
"CRMS0197","S","8/4/2014 12:00:00 AM","4","0.17","0.0321455",
"CRMS0197","S","8/4/2014 12:00:00 AM","8","0.6133333","0.1083718",
"CRMS0197","S","8/4/2014 12:00:00 AM","12","0.53","0.09643651",
"CRMS0197","S","8/4/2014 12:00:00 AM","16","0.59","0.04509249",
"CRMS0197","S","8/4/2014 12:00:00 AM","20","0.7233334","0.03480101",
"CRMS0197","S","8/4/2014 12:00:00 AM","24","0.7633333","0.06437735",
"CRMS0197","S","7/21/2021 12:00:00 AM","4","0.18","0.02309401",
"CRMS0197","S","7/21/2021 12:00:00 AM","8","0.4233333","0.08412952",
"CRMS0197","S","7/21/2021 12:00:00 AM","12","0.61","0.03511885",
"CRMS0197","S","7/21/2021 12:00:00 AM","16","0.7033333","0.09386752",
"CRMS0197","S","7/21/2021 12:00:00 AM","20","0.7966667","0.03179798",
"CRMS0197","S","7/21/2021 12:00:00 AM","24","0.8433334","0.08666667",
"CRMS0200","S","1/22/2009 12:00:00 AM","4","0.4766667","0.1238727",
"CRMS0200","S","1/22/2009 12:00:00 AM","8","0.59","0.1212436",
"CRMS0200","S","1/22/2009 12:00:00 AM","12","0.7033333","0.1168094",
"CRMS0200","S","1/22/2009 12:00:00 AM","16","0.77","0.1250333",
"CRMS0200","S","1/22/2009 12:00:00 AM","20","0.7666667","0.06936218",
"CRMS0200","S","1/22/2009 12:00:00 AM","24","0.8466666","0.02333333",
"CRMS0200","S","8/6/2014 12:00:00 AM","4","0.2866667","0.01452967",
"CRMS0200","S","8/6/2014 12:00:00 AM","8","0.5633333","0.06119188",
"CRMS0200","S","8/6/2014 12:00:00 AM","12","0.6866667","0.0669162",
"CRMS0200","S","8/6/2014 12:00:00 AM","16","0.6733333","0.05364491",
"CRMS0200","S","8/6/2014 12:00:00 AM","20","0.8033333","0.02962732",
"CRMS0200","S","8/6/2014 12:00:00 AM","24","0.8066667","0.1017076",
"CRMS0200","S","12/2/2021 12:00:00 AM","4","0.08","0.005773504",
"CRMS0200","S","12/2/2021 12:00:00 AM","8","0.1433333","0.02333333",
"CRMS0200","S","12/2/2021 12:00:00 AM","12","0.5033333","0.03179798",
"CRMS0200","S","12/2/2021 12:00:00 AM","16","0.6833333","0.03711843",
"CRMS0200","S","12/2/2021 12:00:00 AM","20","0.6633334","0.06333333",
"CRMS0200","S","12/2/2021 12:00:00 AM","24","0.6933333","0.02962732",
"CRMS0206","S","9/26/2008 12:00:00 AM","4","0.06333333","0.006666666",
"CRMS0206","S","9/26/2008 12:00:00 AM","8","0.08333334","0.003333335",
"CRMS0206","S","9/26/2008 12:00:00 AM","12","0.07666667","0.0120185",
"CRMS0206","S","9/26/2008 12:00:00 AM","16","0.1","0.011547",
"CRMS0206","S","9/26/2008 12:00:00 AM","20","0.1266667","0.02333333",
"CRMS0206","S","9/26/2008 12:00:00 AM","24","0.1833333","0.04630814",
"CRMS0206","S","4/2/2015 12:00:00 AM","16","0.1","0.005773501",
"CRMS0206","S","3/7/2022 12:00:00 AM","16","0.1266667","0.02603417",
"CRMS0209","S","6/20/2006 12:00:00 AM","4","0.27","0.02309401",
"CRMS0209","S","6/20/2006 12:00:00 AM","8","0.1966667","0.03179797",
"CRMS0209","S","6/20/2006 12:00:00 AM","12","0.1433333","0.008819171",
"CRMS0209","S","6/20/2006 12:00:00 AM","16","0.1433333","0.008819171",
"CRMS0209","S","6/20/2006 12:00:00 AM","20","0.16","0.01",
"CRMS0209","S","6/20/2006 12:00:00 AM","24","0.14","0.011547",
"CRMS0209","S","4/4/2018 12:00:00 AM","4","0.1433333","0.01666667",
"CRMS0209","S","4/4/2018 12:00:00 AM","8","0.21","0.005773501",
"CRMS0209","S","4/4/2018 12:00:00 AM","12","0.25","0.01732051",
"CRMS0209","S","4/4/2018 12:00:00 AM","16","0.1566667","0.03179798",
"CRMS0209","S","4/4/2018 12:00:00 AM","20","0.09333333","0.008819171",
"CRMS0209","S","4/4/2018 12:00:00 AM","24","0.09","0",
"CRMS0211","S","11/9/2006 12:00:00 AM","4","0.06333333","0.00881917",
"CRMS0211","S","11/9/2006 12:00:00 AM","8","0.08666667","0.003333335",
"CRMS0211","S","11/9/2006 12:00:00 AM","12","0.05333333","0.003333333",
"CRMS0211","S","11/9/2006 12:00:00 AM","16","0.04666667","0.0120185",
"CRMS0211","S","11/9/2006 12:00:00 AM","20","0.04666667","0.006666666",
"CRMS0211","S","11/9/2006 12:00:00 AM","24","0.03666667","0.006666667",
"CRMS0211","S","4/16/2018 12:00:00 AM","4","0.03666667","0.008819171",
"CRMS0211","S","4/16/2018 12:00:00 AM","8","0.04666667","0.0120185",
"CRMS0211","S","4/16/2018 12:00:00 AM","12","0.03333333","0.006666666",
"CRMS0211","S","4/16/2018 12:00:00 AM","16","0.04333333","0.006666667",
"CRMS0211","S","4/16/2018 12:00:00 AM","20","0.04333333","0.006666667",
"CRMS0211","S","4/16/2018 12:00:00 AM","24","0.04","0.005773503",
"CRMS0217","S","4/30/2009 12:00:00 AM","4","0.2166667","0.01452966",
"CRMS0217","S","4/30/2009 12:00:00 AM","8","0.28","0.01527525",
"CRMS0217","S","4/30/2009 12:00:00 AM","12","0.3833333","0.008819172",
"CRMS0217","S","4/30/2009 12:00:00 AM","16","0.4066667","0.06691619",
"CRMS0217","S","4/30/2009 12:00:00 AM","20","0.3266667","0.008819172",
"CRMS0217","S","4/30/2009 12:00:00 AM","24","0.35","0.04041452",
"CRMS0217","S","8/4/2014 12:00:00 AM","4","0.1233333","0.02403701",
"CRMS0217","S","8/4/2014 12:00:00 AM","8","0.2766667","0.02403701",
"CRMS0217","S","8/4/2014 12:00:00 AM","12","0.3366667","0.01333333",
"CRMS0217","S","8/4/2014 12:00:00 AM","16","0.38","0.04358898",
"CRMS0217","S","8/4/2014 12:00:00 AM","20","0.3666667","0.02333333",
"CRMS0217","S","8/4/2014 12:00:00 AM","24","0.3633333","0.01333333",
"CRMS0217","S","11/15/2021 12:00:00 AM","4","0.08","0.005773504",
"CRMS0217","S","11/15/2021 12:00:00 AM","8","0.14","0.02886751",
"CRMS0217","S","11/15/2021 12:00:00 AM","12","0.2766667","0.04977728",
"CRMS0217","S","11/15/2021 12:00:00 AM","16","0.4133333","0.1072899",
"CRMS0217","S","11/15/2021 12:00:00 AM","20","0.43","0.03511884",
"CRMS0217","S","11/15/2021 12:00:00 AM","24","0.4366667","0.01666667",
"CRMS0218","S","12/18/2014 12:00:00 AM","16","0.1066667","0.02027588",
"CRMS0218","S","12/2/2021 12:00:00 AM","4","0.03666667","0.003333333",
"CRMS0218","S","12/2/2021 12:00:00 AM","8","0.04333333","0.006666667",
"CRMS0218","S","12/2/2021 12:00:00 AM","12","0.04","0",
"CRMS0218","S","12/2/2021 12:00:00 AM","16","0.04","0.005773503",
"CRMS0218","S","12/2/2021 12:00:00 AM","20","0.07","0.005773502",
"CRMS0218","S","12/2/2021 12:00:00 AM","24","0.08666667","0.01763834",
"CRMS0219","S","6/14/2006 12:00:00 AM","4","0.04666667","0.006666666",
"CRMS0219","S","6/14/2006 12:00:00 AM","8","0.04","0",
"CRMS0219","S","6/14/2006 12:00:00 AM","12","0.04","0.005773503",
"CRMS0219","S","6/14/2006 12:00:00 AM","16","0.03666667","0.003333333",
"CRMS0219","S","6/14/2006 12:00:00 AM","20","0.03666667","0.006666667",
"CRMS0219","S","6/14/2006 12:00:00 AM","24","0.03666667","0.008819171",
"CRMS0219","S","3/21/2018 12:00:00 AM","4","0.04","0.005773503",
"CRMS0219","S","3/21/2018 12:00:00 AM","8","0.04333333","0.008819171",
"CRMS0219","S","3/21/2018 12:00:00 AM","12","0.04666667","0.003333334",
"CRMS0219","S","3/21/2018 12:00:00 AM","16","0.06","0.005773502",
"CRMS0219","S","3/21/2018 12:00:00 AM","20","0.05333333","0.003333333",
"CRMS0219","S","3/21/2018 12:00:00 AM","24","0.04666667","0.006666666",
"CRMS0220","S","6/13/2006 12:00:00 AM","4","0.15","0.02516612",
"CRMS0220","S","6/13/2006 12:00:00 AM","8","0.2066667","0.01201851",
"CRMS0220","S","6/13/2006 12:00:00 AM","12","0.2166667","0.01763834",
"CRMS0220","S","6/13/2006 12:00:00 AM","16","0.2","0.009999995",
"CRMS0220","S","6/13/2006 12:00:00 AM","20","0.17","0.02081666",
"CRMS0220","S","6/13/2006 12:00:00 AM","24","0.1533333","0.01201851",
"CRMS0220","S","4/18/2018 12:00:00 AM","4","0.1233333","0.01666667",
"CRMS0220","S","4/18/2018 12:00:00 AM","8","0.1766667","0.02185813",
"CRMS0220","S","4/18/2018 12:00:00 AM","12","0.21","0.03605551",
"CRMS0220","S","4/18/2018 12:00:00 AM","16","0.1966667","0.02728451",
"CRMS0220","S","4/18/2018 12:00:00 AM","20","0.18","0.03605551",
"CRMS0220","S","4/18/2018 12:00:00 AM","24","0.1733333","0.008819171",
"CRMS0224","S","6/7/2006 12:00:00 AM","4","0.27","0.02",
"CRMS0224","S","6/7/2006 12:00:00 AM","8","0.3333333","0.00666667",
"CRMS0224","S","6/7/2006 12:00:00 AM","12","0.21","0.02081666",
"CRMS0224","S","6/7/2006 12:00:00 AM","16","0.18","0.01527525",
"CRMS0224","S","6/7/2006 12:00:00 AM","20","0.1766667","0.006666665",
"CRMS0224","S","6/7/2006 12:00:00 AM","24","0.16","0.01",
"CRMS0224","S","4/26/2018 12:00:00 AM","4","0.1933333","0.003333335",
"CRMS0224","S","4/26/2018 12:00:00 AM","8","0.3066667","0.01333333",
"CRMS0224","S","4/26/2018 12:00:00 AM","12","0.2866667","0.03527668",
"CRMS0224","S","4/26/2018 12:00:00 AM","16","0.2","0.03605551",
"CRMS0224","S","4/26/2018 12:00:00 AM","20","0.1766667","0.01201851",
"CRMS0224","S","4/26/2018 12:00:00 AM","24","0.16","0.01527525",
"CRMS0225","S","6/21/2006 12:00:00 AM","4","0.1533333","0.008819171",
"CRMS0225","S","6/21/2006 12:00:00 AM","8","0.1733333","0.008819171",
"CRMS0225","S","6/21/2006 12:00:00 AM","12","0.1633333","0.006666665",
"CRMS0225","S","6/21/2006 12:00:00 AM","16","0.1766667","0.01452966",
"CRMS0225","S","6/21/2006 12:00:00 AM","20","0.1733333","0.00666667",
"CRMS0225","S","6/21/2006 12:00:00 AM","24","0.1966667","0.02666667",
"CRMS0225","S","3/14/2018 12:00:00 AM","4","0.1366667","0.03179797",
"CRMS0225","S","3/14/2018 12:00:00 AM","8","0.1933333","0.03179798",
"CRMS0225","S","3/14/2018 12:00:00 AM","12","0.1666667","0.03282953",
"CRMS0225","S","3/14/2018 12:00:00 AM","16","0.15","0.005773501",
"CRMS0225","S","3/14/2018 12:00:00 AM","20","0.14","0",
"CRMS0225","S","3/14/2018 12:00:00 AM","24","0.15","0.01732051",
"CRMS0226","S","6/20/2006 12:00:00 AM","4","0.27","0.011547",
"CRMS0226","S","6/20/2006 12:00:00 AM","8","0.22","0.005773506",
"CRMS0226","S","6/20/2006 12:00:00 AM","12","0.22","0.01527525",
"CRMS0226","S","6/20/2006 12:00:00 AM","16","0.2033333","0.01452966",
"CRMS0226","S","6/20/2006 12:00:00 AM","20","0.2233333","0.01855921",
"CRMS0226","S","6/20/2006 12:00:00 AM","24","0.21","0.02081666",
"CRMS0226","S","3/22/2018 12:00:00 AM","4","0.2333333","0.04666667",
"CRMS0226","S","3/22/2018 12:00:00 AM","8","0.29","0.01527526",
"CRMS0226","S","3/22/2018 12:00:00 AM","12","0.27","0.02081666",
"CRMS0226","S","3/22/2018 12:00:00 AM","16","0.2","0.005773501",
"CRMS0226","S","3/22/2018 12:00:00 AM","20","0.15","0.01732051",
"CRMS0226","S","3/22/2018 12:00:00 AM","24","0.14","0.01527525",
"CRMS0232","S","6/6/2006 12:00:00 AM","4","0.2866667","0.02185813",
"CRMS0232","S","6/6/2006 12:00:00 AM","8","0.38","0.03",
"CRMS0232","S","6/6/2006 12:00:00 AM","12","0.3333333","0.03282952",
"CRMS0232","S","6/6/2006 12:00:00 AM","16","0.33","0.03",
"CRMS0232","S","6/6/2006 12:00:00 AM","20","0.2966667","0.01452966",
"CRMS0232","S","6/6/2006 12:00:00 AM","24","0.3133333","0.02333333",
"CRMS0232","S","4/18/2018 12:00:00 AM","4","0.2566667","0.04409586",
"CRMS0232","S","4/18/2018 12:00:00 AM","8","0.48","0.04932883",
"CRMS0232","S","4/18/2018 12:00:00 AM","12","0.5933333","0.008819181",
"CRMS0232","S","4/18/2018 12:00:00 AM","16","0.2733333","0.05238745",
"CRMS0232","S","4/18/2018 12:00:00 AM","20","0.25","0.02081666",
"CRMS0232","S","4/18/2018 12:00:00 AM","24","0.2433333","0.02905932",
"CRMS0234","S","6/9/2014 12:00:00 AM","4","0.035","0.005",
"CRMS0234","S","6/9/2014 12:00:00 AM","8","0.05","0.01",
"CRMS0234","S","6/9/2014 12:00:00 AM","12","0.085","0.005000003",
"CRMS0234","S","6/9/2014 12:00:00 AM","16","0.125","0.004999999",
"CRMS0234","S","6/9/2014 12:00:00 AM","20","0.15","0.009999998",
"CRMS0234","S","6/9/2014 12:00:00 AM","24","0.13","0.05",
"CRMS0234","S","11/2/2021 12:00:00 AM","4","0.08","0.01",
"CRMS0234","S","11/2/2021 12:00:00 AM","8","0.08666667","0.003333335",
"CRMS0234","S","11/2/2021 12:00:00 AM","12","0.1133333","0.01763834",
"CRMS0234","S","11/2/2021 12:00:00 AM","16","0.1333333","0.01763834",
"CRMS0234","S","11/2/2021 12:00:00 AM","20","0.1433333","0.01763834",
"CRMS0234","S","11/2/2021 12:00:00 AM","24","0.1466667","0.008819172",
"CRMS0237","S","6/7/2006 12:00:00 AM","4","0.14","0.03511885",
"CRMS0237","S","6/7/2006 12:00:00 AM","8","0.2033333","0.0120185",
"CRMS0237","S","6/7/2006 12:00:00 AM","12","0.1866667","0.02027587",
"CRMS0237","S","6/7/2006 12:00:00 AM","16","0.21","0.02081666",
"CRMS0237","S","6/7/2006 12:00:00 AM","20","0.19","0.01527525",
"CRMS0237","S","6/7/2006 12:00:00 AM","24","0.22","0.03214551",
"CRMS0237","S","4/26/2018 12:00:00 AM","4","0.19","0.01527525",
"CRMS0237","S","4/26/2018 12:00:00 AM","8","0.38","0.05507571",
"CRMS0237","S","4/26/2018 12:00:00 AM","12","0.2933333","0.01333333",
"CRMS0237","S","4/26/2018 12:00:00 AM","16","0.2333333","0.01452966",
"CRMS0237","S","4/26/2018 12:00:00 AM","20","0.2166667","0.003333335",
"CRMS0237","S","4/26/2018 12:00:00 AM","24","0.21","0.02516611",
"CRMS0241","S","3/10/2008 12:00:00 AM","4","0.13","0.02645751",
"CRMS0241","S","3/10/2008 12:00:00 AM","8","0.1366667","0.01452966",
"CRMS0241","S","3/10/2008 12:00:00 AM","12","0.2366667","0.03844188",
